number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory,10mostcommon,count,quote,lastupdated
1962,7-5-2018,"Campaign rally in Great Falls, Montana","""Wages, for the first time in 18 years are rising again. People can go out, they can actually choose a job and they have wages that are rising.""","Wages have been rising since 2014. In June, the month before Trump spoke, average hourly earnings rose by 2.7 per cent, the same as in Obama's last month in office, December 2016.",Wages haven't increased,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Economy,Jobs,,,Speeches,,,,
1961,7-5-2018,"Campaign rally in Great Falls, Montana","""Every day, we are keeping our promises. We've created 3.4 million jobs since Election Day, which nobody can even believe. Nobody believes it. I always say if I would have said that on the campaign trail when I was here or anyplace else it would have been brutal. They would have said, 'How can you possibly say a thing like that, 3.4 million new jobs?'""","It is not true that the media would have accused him of exaggerating if he said 3.4 million jobs would be created in the 19 months after the election. The number of jobs created over the previous 19 months, under Obama, was 4.1 million.",2.4 million jobs unthinkable,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Jobs,Economy,,,Speeches,,,,
1960,7-5-2018,"Campaign rally in Great Falls, Montana","""And, yes, we are already building the wall. It started in California, in San Diego; $1.6 billion...""","Construction on Trump's border wall has not started. When he has made this claim in the past, Trump has appeared to be referring to a project in which a 2.25-mile stretch of existing wall in California is being replaced by a taller wall. That project was proposed in 2009, and the Los Angeles Times reported that Border Patrol spokesperson Jonathan Pacheco told reporters in March: ""First and foremost, this isn't Trump's wall. This isn't the infrastructure that Trump is trying to bring in. ... This new wall replacement has absolutely nothing to do with the prototypes that were shown over in the San Diego area."" The $1.6 billion Congress allocated to border projects in 2018 is not for the type of giant concrete wall Trump has proposed: spending on that kind of wall is expressly prohibited in the legislation, and much of the congressional allocation is for replacement and reinforcement projects rather than new construction.",We started building wall,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Immigration,,,,Speeches,,,,
1959,7-5-2018,"Campaign rally in Great Falls, Montana","""...Getting military funding -- we've got $700 billion, the biggest ever...""","Trump's $700 billion defence budget is not the biggest ever. As the New York Times noted, Obama signed a $725 billion version of the same bill in 2011.",Record defence spending,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Military,,,,Speeches,,,,
1958,7-5-2018,"Campaign rally in Great Falls, Montana","""When you have these MS-13 thugs come in, ICE goes in and wipes them out like nothing because they're much tougher...So we're taking them out by the thousands.""","""By the thousands"" is an exaggeration; it is more like ""by the hundreds,"" or ""by the dozens."" The acting director of Immigration and Customs Enforcement, Thomas Homan, said in December that ""a renewed focus on ID'ing & dismantling the ultra-violent MS-13 gang led to nearly 800 arrests in (fiscal year) 2017, for an 83 per cent increase over last year."" That figure is disputed, as some of the people arrested may not be actual members of the gang. Even if they are, though, that is far from ""thousands."" In November, Attorney General Jeff Sessions claimed the U.S. had ""worked with our partners in Central America to arrest and charge some 4,000 MS-13 members."" But those additional arrests were made abroad, so the people arrested were not ""removed.""",MS-13 thousands,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Immigration,Exaggeration,,,Speeches,,,,
1957,7-5-2018,"Campaign rally in Great Falls, Montana","""The new platform of the Democrat Party is to abolish ICE. In other words, they want to abolish immigration enforcement entirely. That's what they want to do. They want -- they want everybody coming in.""","This is an exaggeration. There is new Democratic momentum behind the movement to abolish Immigration and Customs Enforcement, but it far too strong to say this is the Democratic Party's ""new platform."" While a smattering of Democratic House members and two prominent senators, Senator Kirsten Gillibrand and Elizabeth Warren, had joined the call for abolition at the time Trump spoke, the party's leadership was opposed to the proposal. Democratic Senate Leader Chuck Schumer told reporters: ""Look, ICE does some functions that are very much needed. ""Reform ICE? Yes. That's what I think we should do. It needs reform."" Democratic House Leader Nancy Pelosi, through a spokesperson, has called for a ""drastic overhaul of its immigration functions,"" but has not endorsed abolition. Further, even the officials who have endorsed abolishing ICE have not called for ending immigration enforcement entirely.",Abolish ICE is Dem platform,no,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Immigration,Democrats,,,Speeches,,,,
1956,7-5-2018,"Campaign rally in Great Falls, Montana","""But they -- do you ever notice -- do you ever hear something, they say -- you know we had a case last week we were in a great place in Wisconsin. And we had a tremendous crowd and we have like the choice of a 22,000-seat arena and in retrospect, we would have packed it and they would have sent away thousands of people. But the people said to me, very innocent people, they were great. But I hadn't met them. I said why didn't you -- they -- they filled up a 7,000-seat arena, walked away thousands of people, like over 20. And we would have filled -- and I said why didn't you use the bigger arena?""","Trump appeared to confuse two events. He did not speak at any arena at all in Wisconsin the week prior, let alone a 7,000-seat arena; he spoke at the site of the new Foxconn factory. He appeared to be trying to refer to his rally at a 6,000-seat arena in Fargo, North Dakota the same week as his Wisconsin visit; he had complained about the arena choice during that Fargo speech. Also, nowhere close to 20,000 people were turned away from the Fargo arena. While no precise numbers are available, photos from the scene suggest the number of people turned away was, at most, in the low thousands. (Trump complained during his Fargo speech that it was ""15,000 or 18,000 people."")","15,000 or 18,000 rejected in Fargo",Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,,Crowds,Exaggeration,,Speeches,,,,
1955,7-5-2018,"Campaign rally in Great Falls, Montana","""You know, the New York Times was ready to fold. It was going to close. And then I came along, unfortunately, and they -- they sell.""",The Times was not in danger of shutting down before Trump began his campaign in 2015.,NYT shut down,no,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Media,,,,Speeches,,,,
1954,7-5-2018,"Campaign rally in Great Falls, Montana","""Winning the Electoral College is very tough for a Republican, much tougher than the so-called 'popular vote,' where people vote four times.""","There is no evidence that even one person voted four times in the 2016 election, let alone that voter fraud is a widespread problem. And while Trump did not make his claim about supposed Electoral College bias as explicitly as he usually does, we'll repeat that it is false that the presidential election system is set up in a way that favours Democrats. Six of the last nine presidents, all of whom except for Gerald Ford had to win an Electoral College election, have been Republicans.",Mass fraud,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Voter fraud,Election,,,Speeches,,,,
1953,7-5-2018,"Campaign rally in Great Falls, Montana","""I won Wisconsin. First time -- first time since Dwight Eisenhower in 1952... We had a great -- we had a great victory. But think of it. Not since Dwight Eisenhower, 1952.""","The last Republican presidential candidate to win Wisconsin was Ronald Reagan in 1984, not Eisenhower in 1952. Republicans also won Wisconsin in 1956 (Eisenhower), 1960, 1968 and 1972 (Richard Nixon), and 1980 (Reagan).",Wisconsin victory,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Election,Republicans,Past presidents,,Speeches,,,,
1952,7-5-2018,"Campaign rally in Great Falls, Montana","""But think of Wisconsin. Reagan had his big win. He won every state except for one, the great state of Wisconsin.""",Reagan won Wisconsin in his 1984 landslide. The only state he didn't win was Minnesota.,Reagan didn't win WIsconsin,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Election,Past presidents,,,Speeches,,,,
1951,7-5-2018,"Campaign rally in Great Falls, Montana","""And the House just left and they said, 'There's no collusion.' Can you imagine this? It's all a ruse. This was an excuse for the Democrats who lost an election, who actually got their ass kicked, 306 -- 306 to 223, that's a pretty good shellacking.""","Hillary Clinton earned 232 electoral votes, not 223. This was not a one-time minor error: it was the 10th time Trump said she got ""223."" (Also, Democrats did not invent the accusation of Trump campaign collusion with Russia as a post-election excuse; the FBI opened its investigation into the Trump campaign's relationship with Russia during the campaign.)",Clinton electoral votes,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Hillary Clinton,Election,,,Speeches,,,,
1950,7-5-2018,"Campaign rally in Great Falls, Montana","""I said it the other day, yes, she is a low IQ individual, Maxine Waters. I said it the other day. High -- I mean, honestly, she's somewhere in the mid-60s, I believe that.""","We don't know Waters's actual IQ, but it is obvious that Trump's insult is incorrect. People with IQs of below 70 are usually people who have been diagnosed with an intellectual disability. According to a 2001 report by Human Rights Watch, ""an I.Q. in the 60 to 70 range is approximately the scholastic equivalent to the third grade."" Waters has a degree in sociology and has served in Congress for 27 years.",Waters IQ,no,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Democrats,,,,Speeches,,,,
1949,7-5-2018,"Campaign rally in Great Falls, Montana","""They're fake. They're fake. They quote sources -- 'A source within the Trump organization said' -- a source. They don't have a source. They never use names anymore. You know, in the old days, you have to use names. 'Jim Smith said that Donald Trump is a bad guy.' They don't do that anymore. They say, 'A source within the administration.' They make the sources up. They don't exist in many cases. Any time you say -- you know, I saw one of them said '15 anonymous sources' -- I don't have 15 people in the White -- I mean, forget it.""","There is no evidence that media outlets have made up sources for their articles about the workings of the Trump administration. Obviously, far more than 15 people work in the White House.",Sources made up,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Media,,,,Speeches,,,,
1948,7-5-2018,"Campaign rally in Great Falls, Montana","""We (Trump and Kim Jong Un) had a meeting. 'By agreeing to meet' -- you know, they can't come up with anything else, like -- I didn't give, like Clinton and like Obama would have -- you know, Obama couldn't meet. Now they say, 'Well Obama' -- Obama couldn't meet. They wouldn't see him. So I didn't have -- like Clinton, where they gave him billions and billions of dollars and got nothing. OK? So they couldn't find anything, so what did they do? They say, 'He met.' I met. That's what we lost, folks. He met. Now by the way, Obama would have loved to have met. They wouldn't see him. They wouldn't see him. One of the first question I asked when I was over there, they wouldn't see him.""","There is no evidence that Obama ever desired a meeting with North Korean dictators Kim Jong Il or successor Kim Jong Un, much less that the North Koreans rejected such a meeting. Ned Price, a former special assistant to Obama and National Security Council spokesperson, said the claim is false. He wrote in an email: ""President Trump lives in a fantasy world in which only he can do certain things --it goes back to his campaign phrase: 'Only I can fix it.' But the truth is that there are certain things that only President Trump would do. And rushing to meet with his North Korean counterpart counts among them. To be clear: the previous administration never sought a meeting between Obama and Kim Jong-un or his father. It's not that such a meeting would have been off the table; had the North Koreans demonstrated a genuine willingness to denuclearize, backed up by concrete moves, such a meeting could have materialized over time. But the North Koreans didn't demonstrate that then, nor have they demonstrated that now. This claim is nothing more than Trump's deep inferiority complex once again rearing its head.""",Obama couldn't get Kim meeting,no,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Barack Obama,North Korea,,,Speeches,,,,
1947,7-5-2018,"Campaign rally in Great Falls, Montana","""I mean, these guys, like -- Obama was very close to going to war (with North Korea). You have 30 million people in Seoul.""","There was no indication that the U.S. was close to going to war with North Korea in the Obama era. Ned Price, a former special assistant to Obama and National Security Council spokesperson, said in an email that Obama's strategy of ""containment and deterrence"" was ""predicated in part on the understanding that a military conflict on the Peninsula would be nothing short of catastrophic -- both in terms of lives and the global economic toll.""",Obama said North Korea war,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Barack Obama,North Korea,Military,,Speeches,,,,
1946,7-5-2018,"Campaign rally in Great Falls, Montana","""We've become a nation that is exporting energy for the first time. We're exporting energy.""","The U.S. has exported energy for decades -- the U.S. government's website includes oil-export data dating back to 1920 -- so, taking Trump's claim in the most literal way possible, it is false that the U.S. has just now started exporting energy. What he was clearly suggesting, though, is that the U.S. has now become a net exporter of energy -- exporting more than it imports. But that is also false; the U.S. government's Energy Information Administration estimated in early 2018 that it could happen around 2022. ",Net exporter,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Energy,Trade,,,Speeches,,,,
1945,7-5-2018,"Campaign rally in Great Falls, Montana","""They make it impossible to do business in Europe, and yet they come in and they sell their Mercedes and their BMWs to us. So we have $151 billion in trade deficits with the E.U.""","Of course, it is not ""impossible"" for most American companies to do business in Europe. And the $151 billion figure counts only trade in goods and ignores trade in services, in which the U.S. has a significant surplus. Including all kinds of trade, the overall U.S. trade balance with the European Union in 2017 was a deficit of $102 billion, according to U.S. government statistics.",EU deficit 151 billion,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,European Union,Trade,Exaggeration,,Speeches,,,,
1944,7-5-2018,"Campaign rally in Great Falls, Montana","""I'll see NATO and I'm going to tell NATO -- you got to start paying your bills. The United States is not going to take care of everything. We're paying for anywhere from 70 to 90 per cent to protect Europe, and that's fine.""","The U.S. is not paying up to 90 per cent of NATO costs, no matter how you slice them. According to NATO's 2018 annual report, U.S. defence spending represented 72 per cent of the alliance's total defence spending in 2017. With regard to direct contributions to NATO's own common budget, the U.S. contributes a much smaller agreed-upon percentage: 22 per cent.",US NATO spending,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,NATO,Exaggeration,Military,,Speeches,,,,
1943,7-5-2018,"Campaign rally in Great Falls, Montana","""Unemployment among women is at the lowest level it's been in 65 years.""","This was no longer true at the time Trump spoke. It was correct as of the previous month: the women's unemployment rate for May, reported in June, was 3.6 per cent, the same as in 1953. But it rose to 4 per cent in June, which was merely the lowest since 2017 -- or, if you're only counting pre-Trump years, the lowest since 2000, 18 years ago.",Lowest women's unemployment,no,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Economy,Exaggeration,,,Speeches,,,,
1942,7-5-2018,"Campaign rally in Great Falls, Montana","""I have broken more Elton John records, he seems to have a lot of records and we beat -- and I, by the way, I don't have a musical instrument. I don't have a guitar or an organ. No organ. Elton has an organ and lots of other people help him. You know we've broken a lot of records. We've broken virtually every record because you know, look, I only need this space. They need much more room for basketball, for hockey, for all the sports. They need a lot of room.""","It was not clear what ""Elton John records"" Trump was talking about, but he has not drawn bigger crowds than Elton John's biggest crowds -- not even in Montana, the state where he was speaking. In 2007, when John made his first visit to Montana, he drew ""nearly 8,000"" people to a sold-out arena in Missoula and ""more than 8,000"" at a sold-out arena in Bozeman, according to local media reports at the time; local media said the capacity of the arena where Trump spoke, in Great Falls, was 6,600. And, of course, John has drawn bigger crowds than Trump elsewhere. As New York magazine noted, John played two sold-out shows at 56,000-seat Dodger Stadium on consecutive nights in 1975; Trump has never had a rally with 50,000 people; he was speaking at the third of three rallies held in venues smaller than 10,000.",Elton John record,no,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Sports and entertainment,Crowds,,,Speeches,,,,
1941,7-5-2018,"Campaign rally in Great Falls, Montana","""And yet, I see Jon Tester saying such nice things about me. I say, yes, but he never votes for me. He never votes.""","""Never"" is an exaggeration. Tester, the Democratic Montana senator, votes against Trump's expressed wishes most of the time, but he had voted with Trump 37 per cent of the time on the day Trump spoke, according to analysis by the website FiveThirtyEight. Among other things, Tester supported Trump's push to loosen bank regulations.",Tester never votes with me,no,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Democrats,Congress,,,Speeches,,,,
1940,7-5-2018,"Campaign rally in Great Falls, Montana","""Jon Tester voted no on tax cuts for Montana families. He voted no on cutting the estate tax or the death tax for your farms, your farmers, and your small businesses. Think of that one. Think of that one. But you got it anyway because we got it passed. So, on your farms, for the most part, you will have no estate tax or death tax to pay. You can leave your farm, you can leave your small business to your children or whoever you want to leave them..."" And: ""We slashed taxes for working families and saved our family farms. We saved family farms.""","Contrary to Trump's suggestion, very few farmers or small businesspeople were paying the estate tax even before Trump's tax law was passed. According to the Tax Policy Center, a mere 80 farms and small businesses are among the 5,460 estates likely to pay the estate tax in 2017, before Trump's tax law. The Center wrote on its website: ""The Tax Policy Center estimates that small farms and businesses will pay $30 million in estate tax in 2017, fifteen hundredths of 1 percent of the total estate tax revenue.""",Farmers estate tax,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Farmers,Taxes,,,Speeches,,,,
1939,7-5-2018,"Campaign rally in Great Falls, Montana","""Jon Tester voted no on repealing Obamacare. And even though we got a little surprise vote that evening, you all remember that evening somebody came in with a thumbs down after campaigning for years that he was going to repeal and replace. But that's OK because we, for the most part, have already done it.""","Trump has not repealed and replaced Obamacare ""for the most part."" Trump has weakened Obamacare in several ways, most notably by eliminating the ""individual mandate"" that required people to obtain health insurance, but the law is far from dead. Trump did not eliminate Obamacare's expansion of the Medicaid insurance program for low-income people, the federal and state Obamacare marketplaces that allow other uninsured people to buy insurance, or the subsidies that help many of them make the purchases. Nor did he touch various Obamacare rules for the insurance market, like its prohibition on insurers.",Essentially repealed Obamacare,Yes,https://factba.se/transcript/donald-trump-speech-make-america-great-again-rally-great-falls-montana-july-5-2018,Health care,,,,Speeches,,,,
1938,7-5-2018,Exchange with reporters on Air Force One on trip to Montana,"""When I took office, you can quote me on this, North Korea was doing tremendous testing, tremendous missile launches. And you can ask President Obama, he was very close to going to war and he would have lost 50 million people plus...""","There was no indication that the U.S. was close to going to war with North Korea in the Obama era. We did ask Obama's office about this; they declined to comment but suggested we speak to Ned Price, a former special assistant to Obama and National Security Council spokesperson, who said that the claim was false. Price said in an email that Obama's strategy of ""containment and deterrence"" was ""predicated in part on the understanding that a military conflict on the Peninsula would be nothing short of catastrophic -- both in terms of lives and the global economic toll.""",Obama said North Korea war,Yes,https://factba.se/transcript/donald-trump-press-conference-on-air-force-one-july-5-2018 ,North Korea,Barack Obama,Military,,Press conferences or scrums,,,,
1937,7-3-2018,"Speech at Salute to Service dinner in White Sulphur Springs, West Virginia ","""Do you know that West Virginia is second in the nation in the percentage increase of GDP? Think of what that means. And (Gov.) Jim Justice just said, 'Before we met Trump, that number was not good.' Pretty close to last, right? And combinations of a lot of good people with (Sen.) Shelley Moore Capito, and you, and us. But now, think of that. Texas was first. Texas. Doing a great job. Great governor there, too. But Texas was first. West Virginia was second -- percentage increase of GDP. That's an incredible accomplishment in a short period of time. Incredible.""","Trump spoke of this achievement in the present tense, but it had long ago stopped being true. West Virginia was indeed second in the nation in GDP growth in the first quarter of 2017, more than a year prior to Trump's speech -- but by the fourth quarter of 2017, the last quarter for which the government had issued state rankings, West Virginia had fallen to 44th in the country, at a mere 1 per cent growth. For the whole year of 2017, Virginia ranked 10th in the country with 2.6 per cent growth.",WV GDP last month,Yes,https://factba.se/transcript/donald-trump-remarks-salute-to-service-dinner-west-virginia-july-3-2018,Economy,,,,Speeches,,,,
1936,7-3-2018,"Speech at Salute to Service dinner in White Sulphur Springs, West Virginia ","""And coal is coming back. And it's also coming back for another reason: national security. And your governor knows very well, and your senator knows very well what that means with coal. You know, you bomb a pipeline, that's the end of the pipeline. With coal, that stuff is indestructible. You can move it around on a truck, you can dump it at the plant, you can do whatever the hell -- you can rain on top of it for a long time. Right, Jim? It can rain like crazy. You can do whatever you want -- snow, sleet, wind. You just dump it. It's there. You hit those pipelines, they're gone, and that's the end of it.""","Coal is not ""indestructible"" or impervious to weather-related problems. Said Jeremy Richardson, senior energy analyst at the Union of Concerned Scientists: ""This is patently false, that coal is indestructible. When I saw that headline -- I happened to see that this morning -- I was like, 'He does know that we burn it, right? I mean, that's what we do with it. We shovel it into boilers and we burn it and we make electricity. So from a physics perspective, that's just false."" Coal mine fires can be particularly difficult to extinguish; one has been burning under the Pennsylvania town of Centralia since the 1960s. Earth Magazine reported in 2010: ""Coal fires are a problem all over the world. Such fires endanger nearby communities, waste precious resources and produce tons of noxious and greenhouse gases. Centralia is not the only coal fire burning in the United States. In fact, it's just one of 38 burning in Pennsylvania alone. The hundreds of underground fires in the United States, from Pennsylvania to Alabama to Wyoming, combined with the thousands thought to be burning in China, India and elsewhere, are one of the largest sources of carbon dioxide and pollution on Earth."" And burning is not the only way coal can be damaged; E&E News, the energy and environment publication, reported in response to Trump's remarks: ""Frozen coal piles, for example, were cited as a major issue when a deep freeze hugged the northeastern United States in 2014, according to a report from federally appointed grid overseers. And when Hurricane Harvey flooded the Texas Gulf Coast last year, waters saturated coal piles at one plant outside Houston and cut off rail deliveries to the power plant."" ",Coal is indestructible,no,https://factba.se/transcript/donald-trump-remarks-salute-to-service-dinner-west-virginia-july-3-2018,Energy,,,,Speeches,,,,
